NoShowRatio,AppointmentData,DayOfTheWeek
0.7346938775510204,2014-11-29,6
0.3120728929384966,2014-12-29,1
0.6241758241758242,2015-12-29,2
0.6,2014-03-29,6
0.2961832061068702,2014-04-29,2
0.28431372549019607,2015-04-29,3
0.3181126331811263,2014-05-29,4
0.3527204502814259,2015-05-29,5
0.8058608058608059,2015-06-29,1
0.32223903177004537,2014-07-29,2
0.3073248407643312,2015-07-29,3
0.28794992175273865,2014-08-29,5
0.5625,2015-08-29,6
0.3112313937753721,2014-09-29,1
0.2570093457943925,2015-09-29,2
0.315028901734104,2014-01-03,5
0.33174603174603173,2014-10-03,5
0.34715821812596004,2014-11-03,1
0.29292929292929293,2015-11-03,2
0.2917316692667707,2014-12-03,3
0.29402985074626864,2015-12-03,4
0.3069466882067851,2014-02-03,1
0.2704626334519573,2015-02-03,2
1.0,2014-03-03,1
0.2930232558139535,2015-03-03,2
0.2722772277227723,2014-04-03,4
0.27375201288244766,2014-06-03,2
0.2640901771336554,2015-06-03,3
0.3080495356037152,2014-07-03,4
0.5443645083932853,2015-07-03,5
0.30847457627118646,2015-08-03,1
0.24735449735449735,2014-09-03,3
0.32088285229202035,2015-09-03,4
0.2957486136783734,2014-01-30,4
0.31216931216931215,2015-01-30,5
0.3198707592891761,2014-10-30,4
0.31278195488721805,2015-11-30,1
0.296551724137931,2014-12-30,2
1.0,2015-12-30,3
0.27140549273021003,2015-03-30,1
0.3052464228934817,2014-04-30,3
0.35311143270622286,2015-04-30,4
0.2984822934232715,2014-05-30,5
0.3103448275862069,2014-06-30,1
0.3847376788553259,2015-06-30,2
0.26356589147286824,2014-07-30,3
0.2874354561101549,2015-07-30,4
0.42105263157894735,2014-08-30,6
0.4634146341463415,2014-09-30,2
0.254071661237785,2015-09-30,3
0.31317494600431967,2014-01-31,5
0.454242928452579,2014-10-31,5
0.31076923076923074,2014-03-31,1
0.26021180030257185,2015-03-31,2
0.5344827586206896,2014-05-31,6
0.264026402640264,2014-07-31,4
0.3471223021582734,2015-07-31,5
0.3048211508553655,2015-08-31,1
0.2653061224489796,2014-10-04,6
0.2813008130081301,2014-11-04,2
0.2604501607717042,2015-11-04,3
0.28865979381443296,2014-12-04,4
0.3128491620111732,2015-12-04,5
0.23771790808240886,2014-02-04,2
0.22988505747126436,2015-02-04,3
1.0,2014-03-04,2
0.24673202614379086,2015-03-04,3
0.2827140549273021,2014-04-04,5
0.3155487804878049,2015-05-04,1
0.30229007633587784,2014-06-04,3
0.3324468085106383,2014-07-04,5
1.0,2015-07-04,6
0.3005181347150259,2014-08-04,1
0.23,2015-08-04,2
0.3092948717948718,2014-09-04,4
0.2926829268292683,2015-09-04,5
0.319755600814664,2015-01-05,1
0.28032786885245903,2015-10-05,1
0.3228621291448517,2014-11-05,3
0.2730263157894737,2015-11-05,4
0.2896551724137931,2014-12-05,5
0.22575757575757577,2014-02-05,3
0.2776831345826235,2015-02-05,4
0.2618657937806874,2015-03-05,4
0.546875,2014-04-05,6
0.26009693053311794,2014-05-05,1
0.2866141732283465,2015-05-05,2
0.2646638054363376,2014-06-05,4
0.42857142857142855,2014-07-05,6
0.2897473997028232,2014-08-05,2
0.3171875,2015-08-05,3
0.3191489361702128,2014-09-05,5
0.29853479853479853,2014-01-06,1
0.27056672760511885,2015-01-06,2
